Target Id,Target Label,Action Id,Action Label
0,UseAnalyticalBalance,65,clean inner wall of container
0,UseAnalyticalBalance,66,place a piece of paper on weighing pan
0,UseAnalyticalBalance,67,zeroing set
0,UseAnalyticalBalance,68,place weighing sample on weighing pan and read
1,PasteCarSticker,460,clean the window surface
1,PasteCarSticker,461,tear off the front of the sticker
1,PasteCarSticker,462,put the sticker on the window
1,PasteCarSticker,463,press the sticker
1,PasteCarSticker,464,tear off the other side of the sticker
2,AssembleBed,559,place the bed board
2,AssembleBed,560,place the board on each side
2,AssembleBed,561,place board at the bottom
2,AssembleBed,562,install legs on the bed
2,AssembleBed,563,put all bed boxes together
2,AssembleBed,564,install head of the bed
2,AssembleBed,565,place mattress on the bed
3,AssembleSofa,434,install the sofa back
3,AssembleSofa,435,install armrest on sofa
3,AssembleSofa,436,install stand of the seat
3,AssembleSofa,437,place cushion and backrest
3,AssembleSofa,438,install legs of sofa
3,AssembleSofa,439,put on sofa cover
3,AssembleSofa,440,put every parts mentioned together
4,AssembleCabinet,612,assemble the frame
4,AssembleCabinet,613,install horizontal boards
4,AssembleCabinet,614,install vertical boards
5,AssembleDesktopPC,270,install the motherboard
5,AssembleDesktopPC,271,install the fan
5,AssembleDesktopPC,272,install peripherals inside the case
5,AssembleDesktopPC,273,plug cable and wire
5,AssembleDesktopPC,274,install peripherals outside the case
6,BandageDogPaw,58,cover injury with bandage
6,BandageDogPaw,59,wind legs with bandage
6,BandageDogPaw,60,cut the bandage
7,ChangeBikeChain,114,check the old chain
7,ChangeBikeChain,115,cut the old chain
7,ChangeBikeChain,116,take old chain away
7,ChangeBikeChain,117,install the new chain
7,ChangeBikeChain,118,ajust the chain length
7,ChangeBikeChain,119,link the new chain
8,DrawBlood,676,tie the tourniquet
8,DrawBlood,677,disinfect
8,DrawBlood,678,collect blood
8,DrawBlood,679,pull out the needle and press with cotton
9,BlowSugar,154,knead the raw sugar
9,BlowSugar,155,blow the raw sugar
9,BlowSugar,156,paint on sugar
10,BoilNoodles,548,add seasoning to the boiling water
10,BoilNoodles,549,pour the noodles into the water and stir
10,BoilNoodles,550,take a little bit noodles and taste it
10,BoilNoodles,551,pour the cooked noodles
11,PolishCar,713,clean the surface
11,PolishCar,714,apply polishing paste on the surface
11,PolishCar,715,polish with polisher
11,PolishCar,716,clean the scratch
12,FuelCar,684,open the fuel tank cap
12,FuelCar,685,insert oil gun in the car
12,FuelCar,686,operate the control panel
12,FuelCar,687,pullthe  oil gun out
12,FuelCar,688,close the fuel tank cap
13,ChangeCarTire,259,unscrew the screw
13,ChangeCarTire,260,jack up the car
13,ChangeCarTire,261,remove the tire
13,ChangeCarTire,262,put on the tire
13,ChangeCarTire,263,tighten screws
14,CarvePumpkin,724,clean the pumpkin
14,CarvePumpkin,725,remove pumpkin pedicle
14,CarvePumpkin,726,clean up the interior of thepumpkin
14,CarvePumpkin,727,draw an outline
14,CarvePumpkin,728,carve along the outline
14,CarvePumpkin,729,place light into pumpkin
15,ChangeBatteryOfWatch,79,check the type of the back cover
15,ChangeBatteryOfWatch,80,open the back cover
15,ChangeBatteryOfWatch,81,replace the battery
15,ChangeBatteryOfWatch,82,install the back cover and waterproof ring
16,ChangeBikeTires,232,unload the wheel
16,ChangeBikeTires,233,remove the inner tube
16,ChangeBikeTires,234,remove the tire
16,ChangeBikeTires,235,load the tire
16,ChangeBikeTires,236,load the inner tube
16,ChangeBikeTires,237,pump up the tire
16,ChangeBikeTires,238,load the wheel
17,ChangeGuitarStrings,275,cut off and remove the old string
17,ChangeGuitarStrings,276,fix the new string on the lower part of the guitar
17,ChangeGuitarStrings,277,fix the new string on the head of the guitar
17,ChangeGuitarStrings,278,adjust the tightness of the new string
18,ChangeTonerCartridge,608,open the front door or cover of the printer
18,ChangeTonerCartridge,609,take out the toner cartridge
18,ChangeTonerCartridge,610,insert a new toner cartridge
18,ChangeTonerCartridge,611,close the front door or cover of the printer
19,CleanLaptopKeyboard,538,power off
19,CleanLaptopKeyboard,539,pick up the button
19,CleanLaptopKeyboard,540,clean the inside of the button
19,CleanLaptopKeyboard,541,wipe the keyboard
20,CleanRustyPot,207,pour salt and rust removal liquid
20,CleanRustyPot,208,rub back and forth with potatoes or rust remover
20,CleanRustyPot,209,rinse the pot
20,CleanRustyPot,210,add some oil to the pot
20,CleanRustyPot,211,heat the pot
21,CleanHamsterCage,593,remove the hamster from the hamster cage
21,CleanHamsterCage,594,remove the toy and paper bed from the hamster cage
21,CleanHamsterCage,595,clean toys and hamster cages
21,CleanHamsterCage,596,move the toy and paper bed into the hamster cage
21,CleanHamsterCage,597,put the hamster back into the hamster cage
22,CleanFish,105,cut the head
22,CleanFish,106,remove the intestines and blood vessels
22,CleanFish,107,scratch scales
22,CleanFish,108,cut off the tail and fin
22,CleanFish,109,remove the gill
23,CleanShrimp,705,remove the head
23,CleanShrimp,706,remove the shrimp shell
23,CleanShrimp,707,remove the tail
23,CleanShrimp,708,remove the vein
24,CleanToilet,299,apply detergent to the intertior of the toilet
24,CleanToilet,300,scrub the toilet interior
24,CleanToilet,301,flush and wash the interior
24,CleanToilet,302,apply detergent to the external side
24,CleanToilet,303,wipe the external side
25,CleanBathtub,46,make the detergent
25,CleanBathtub,47,apply detergent to bathtub
25,CleanBathtub,48,dip detergent with rag
25,CleanBathtub,49,scrub the bathtub
25,CleanBathtub,50,clean bathtub with water
26,CleanCementFloor,527,make the detergent
26,CleanCementFloor,528,dip detergent with rag or apply detergent
26,CleanCementFloor,529,clean the floor
26,CleanCementFloor,530,wash the floor
26,CleanCementFloor,531,polish the floor
27,CleanWoodenFloor,641,sweep the floor
27,CleanWoodenFloor,642,use vacuum cleaner to clean
27,CleanWoodenFloor,643,wet the mop
27,CleanWoodenFloor,644,make the  detergent
27,CleanWoodenFloor,645,apply detergent
27,CleanWoodenFloor,646,mop the floor
27,CleanWoodenFloor,647,wash the floor
28,CookOmelet,16,pour the egg into the bowl
28,CookOmelet,17,stir the egg
28,CookOmelet,18,pour the egg into the pot
28,CookOmelet,19,fry eggs
28,CookOmelet,20,put seasoning in the egg
28,CookOmelet,21,pour the egg onto the plate
29,PlayCurling,257,push curling
29,PlayCurling,258,brush ice floor
30,CutMango,340,cut the wide side
30,CutMango,341,remove the core
30,CutMango,342,cut into strips and pieces
30,CutMango,343,cut the flesh
30,CutMango,344,peel
31,CutAndRestoreRopeTrick,225,show the whole rope again
31,CutAndRestoreRopeTrick,226,knot the rope
31,CutAndRestoreRopeTrick,227,cut the rope
31,CutAndRestoreRopeTrick,228,show the whole rope again
32,CutCantaloupe,603,cut off the edge
32,CutCantaloupe,604,peel
32,CutCantaloupe,605,cut in half
32,CutCantaloupe,606,dig out the seeds with spoon
32,CutCantaloupe,607,slice the pulp
33,CutGrapeFruit,637,cut both ends and remove fruit seeds
33,CutGrapeFruit,638,remove the peel
33,CutGrapeFruit,639,slice the pulp
33,CutGrapeFruit,640,cut in half
34,WashDish,360,add detergent and make bubble
34,WashDish,361,wipe the dish
34,WashDish,362,rinse the dish
34,WashDish,363,put dish in dishwasher
34,WashDish,364,take dish out
35,RaiseFlag,345,line up for admission
35,RaiseFlag,346,expand the flag
35,RaiseFlag,347,raise the national flag
36,GluePingPongRubber,69,remove old rubber and glue
36,GluePingPongRubber,70,glue on the back of the rubber
36,GluePingPongRubber,71,glue on the paddle
36,GluePingPongRubber,72,put rubber on paddle
36,GluePingPongRubber,73,cut the rubber
36,GluePingPongRubber,74,attach tape to the edge of the paddle
37,Graft,328,cut branches
37,Graft,329,connect branches
37,Graft,330,wind the junction to fasten the connection
38,ThrowHammer,776,pre-swing
38,ThrowHammer,777,rotate body and accelerate the hammer
38,ThrowHammer,778,throw the hammer out
39,HangWallpaper,469,measure and mark the wall
39,HangWallpaper,470,crop the wallpaper
39,HangWallpaper,471,apply glue to the wall and wallpaper
39,HangWallpaper,472,paste and level the wallpaper
39,HangWallpaper,473,cut out a hole
39,HangWallpaper,474,loosen the outer cover of a switch or socket
39,HangWallpaper,475,stuff the wallpaper into the loose outer cover
39,HangWallpaper,476,tighten the outer cover of the switch or socket
39,HangWallpaper,477,clean the wall
39,HangWallpaper,478,wipe or polish the wall
39,HangWallpaper,479,make the glue
39,HangWallpaper,480,dip the glue
40,BandageHead,717,place gasket at injury
40,BandageHead,718,wind bandage around head
40,BandageHead,719,knot at the end of the bandage
41,ArcWeld,585,hold electrode with a welding tong
41,ArcWeld,586,wear a eye protection helmet
41,ArcWeld,587,weld along the weld line
41,ArcWeld,588,clean weld line with a hammer
42,CleanLeatherSeat,516,apply detergent to leather
42,CleanLeatherSeat,517,wipe the detergent
42,CleanLeatherSeat,518,clean the surface
43,DoLinoPrinting,441,draw black patterns
43,DoLinoPrinting,442,transfer pattern to board or tarpaulin
43,DoLinoPrinting,443,scrape tarpaulin without ink
43,DoLinoPrinting,444,cut the tarpaulin
43,DoLinoPrinting,445,mark the area that needs to be inked
43,DoLinoPrinting,446,ink the marked area
43,DoLinoPrinting,447,transfer print
44,DrillHole,407,draw lines to mark the hole
44,DrillHole,408,find the position of the hole
44,DrillHole,409,drill with an electric drill
45,FixLaptopScreenScratches,34,apply toothpaste or other cleaning agent to scratch
45,FixLaptopScreenScratches,35,wipe the scratch with cloth
45,FixLaptopScreenScratches,36,wipe the toothpaste
46,LoadGreaseGun,313,pull out a lock lever at bottom of gun
